sales_usd
811.56
584.58
1121.02
530.49
788.68
710.34
1244.54
786.03
1115.5
1104.87
947.59
128.64
420.87
601.71
663.83
344.14
679.81
1200.32
1211.69
46.05
641.07
693.47
408.48
352.95
403.25
585.8
1045.72
835.28
976.6
627.52
594.32
416.64
492.84
822.97
245.61
666.24
1248.4
801.08
1071.98
633.16
538.07
426.4
184.26
575.7
355.13
194.5
1057.0
531.44
726.21
714.12
1259.22
196.11
1016.34
665.26
42.37
1174.45
94.34
272.77
1043.24
625.64
671.28
596.13
676.21
784.9
731.2
143.05
397.8
390.63
575.59
807.97
798.49
643.85
208.61
490.3
1196.87
1128.8
84.07
454.41
479.03
398.88
1032.09
1221.16
660.17
1154.4
1235.58
741.58
935.36
24.94
632.96
194.56
904.11
338.07
103.56
413.32
679.98
1007.43
781.47
907.57
664.97
496.29
551.31
577.84
252.08
845.83
338.3
689.66
539.2
793.33
543.57
175.72
576.65
362.19
640.52
738.26
595.31
146.78
484.88
459.22
481.74
463.8
903.86
159.16
233.7
650.21
494.03
562.17
570.94
232.42
690.91
538.63
323.63
185.06
968.27
911.48
102.84
208.67
961.21
844.54
860.71
774.88
778.38
896.77
488.98
493.02
151.08
998.77
598.36
130.48
163.11
297.55
654.06
210.94
561.9
997.78
913.33
373.27
985.07
825.02
799.69
976.12
272.21
731.71
708.12
278.09
281.78
941.48
489.47
820.5
100.75
555.47
607.27
739.8
372.47
379.37
978.65
776.58
251.61
329.06
165.82
272.37
766.26
396.57
860.95
685.32
414.14
197.25
521.92
191.13
901.27
104.54
525.77
821.98
190.11
507.19
219.32
173.05
224.8
273.99
868.06
119.38
